time,pos_x,pos_y,pos_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.528500000000098957e+01,-1.908355542129191340e+00,4.086910942146159686e-01,1.424751661943318926e+00,-1.449932076712080187e-01,1.630359953799359607e-02,9.912956553236517365e+00,8.399841261475923717e-04,-2.647062315281550546e-02,6.792277204092249665e-01
1.529000000000099035e+01,-1.909488056437334658e+00,4.062500434303039087e-01,1.424421980230933471e+00,-1.250707338553055104e-01,1.214714564994206006e-02,9.920010832078755669e+00,6.229842716847457020e-04,-2.719896084636459418e-02,6.788815747531923295e-01
1.529500000000099114e+01,-1.910613196889577647e+00,4.038027312272688962e-01,1.424094515962669449e+00,-1.117615635188332485e-01,-1.444593629115750386e-02,9.889222262559323795e+00,5.592456279590719923e-04,-2.867878272946246254e-02,6.749257586608802262e-01
1.530000000000099192e+01,-1.911730959377256900e+00,4.013491967335211519e-01,1.423769270451993973e+00,-1.435718518528789622e-01,-5.706296519844617464e-03,9.904538557651003217e+00,-1.188995068519672991e-04,-2.881392678571729343e-02,6.744566859394345304e-01
1.530500000000099270e+01,-1.912841339990164924e+00,3.988894791083635871e-01,1.423446245005782540e+00,-1.623497128176290827e-01,-1.941735529367819100e-03,9.919575898306954187e+00,1.179045636190355698e-03,-2.833393896259070108e-02,6.717082704549828254e-01
1.531000000000099348e+01,-1.913944335009411857e+00,3.964236175212929592e-01,1.423125440923352247e+00,-1.225717411604935192e-01,-1.101814288263138191e-03,9.906721803167091167e+00,8.668248109823415912e-04,-2.739273305274409626e-02,6.688747617106952648e-01
1.531500000000099426e+01,-1.915039940897779847e+00,3.939516511322829206e-01,1.422806859495488796e+00,-1.146013683091116481e-01,7.401265062977039136e-03,9.926428068014525152e+00,1.763465436130162451e-03,-2.661370836828221356e-02,6.655119535469088410e-01
1.532000000000099504e+01,-1.916128154287727758e+00,3.914736190737447830e-01,1.422490502003481039e+00,-1.242692444084729231e-01,3.713456300278919313e-03,9.902951091455683752e+00,-9.838694201190312065e-04,-2.722273452965557478e-02,6.651336052549432498e-01
1.532500000000099583e+01,-1.917208971967248710e+00,3.889895604344356106e-01,1.422176369718179290e+00,-1.349010069503286113e-01,-2.475492217057861846e-03,9.918285855203199830e+00,-5.139458939533184069e-04,-2.823563573642964494e-02,6.621222298115854166e-01
1.533000000000099661e+01,-1.918282390863809805e+00,3.864995142455508459e-01,1.421864463899090492e+00,-1.433950655815149078e-01,-1.861463844331092549e-02,9.894650823721686805e+00,1.733264363703943467e-03,-2.870801660097524119e-02,6.610236958089942272e-01
